idVotant,Nom,Prénom,date_naissance,wikilink,age
PA606171,Ferrand,Richard,1962-07-01,Richard_Ferrand,58
PA721824,Renson,Hugues,,Hugues_Renson,42
PA719952,Mis,Jean-Michel,,Jean-Michel_Mis,53
PA607395,Travert,Stéphane,1969-10-12,Stéphane_Travert,51
PA718710,Boyer,Pascale,,Pascale_Boyer,55
PA718802,Perea,Alain,,Alain_Péréa,49
PA719032,Bouyx,Bertrand,,Bertrand_Bouyx,50
PA719100,Ardouin,Jean-Philippe,,Jean-Philippe_Ardouin,56
PA719108,Gérard,Raphaël,,Raphaël_Gérard,52
PA719154,Martin,Didier,,Didier_Martin,64
PA719230,Kerlogot,Yannick,,Yannick_Kerlogot,50
PA719388,Le Meur,Annaïg,,Annaïg_Le Meur,47
PA719728,Le Bohec,Gaël,,Gaël_Le Bohec,43
PA719790,Chalumeau,Philippe,,Philippe_Chalumeau,57
PA719814,Colboc,Fabienne,,Fabienne_Colboc,49
PA719830,Démoulin,Nicolas,,Nicolas_Démoulin,48
PA719882,Meynier-Millefert,Marjolaine,,Marjolaine_Meynier-Millefert,38
PA719960,Faure-Muntian,Valéria,,Valéria_Faure-Muntian,36
PA720022,Lauzzana,Michel,,Michel_Lauzzana,63
PA720030,Freschi,Alexandre,,Alexandre_Freschi,41
PA720108,Oppelt,Valérie,,Valérie_Oppelt,47
PA720146,Masséglia,Denis,,Denis_Masséglia,39
PA720154,Dubré-Chirat,Nicole,,Nicole_Dubré-Chirat,69
PA720268,Damaisin,Olivier,,Olivier_Damaisin,54
PA720754,Studer,Bruno,,Bruno_Studer,42
PA721158,Anglade,Pieyre-Alexandre,,Pieyre-Alexandre_Anglade,34
PA721450,Lenne,Marion,,Marion_Lenne,46
PA721750,Calvez,Céline,,Céline_Calvez,41
PA721776,Baichère,Didier,,Didier_Baichère,50
PA721844,Piron,Béatrice,,Béatrice_Piron,55
PA722046,Bergé,Aurore,,Aurore_Bergé,34
PA722094,Hennion,Christine,,Christine_Hennion,65
PA722170,Beaudouin-Hubiere,Sophie,,Sophie_Beaudouin-Hubière,48
PA722228,Leclabart,Jean-Claude,,Jean-Claude_Leclabart,66
PA722336,Thiébaut,Vincent,,Vincent_Thiébaut,48
PA722194,Provendier,Florence,,Florence_Provendier,55
PA721674,Atger,Stéphanie,,Stéphanie_Atger,45
PA345722,Le Grip,Constance,,Constance_Le Grip,60
PA720210,Beauvais,Valérie,,Valérie_Beauvais,57
PA720644,Nury,Jérôme,,Jérôme_Nury,48
PA608826,Duby-Muller,Virginie,1979-08-16,Virginie_Duby-Muller,41
PA266797,Gosselin,Philippe,1966-10-23,Philippe_Gosselin,54
PA719318,Anthoine,Emmanuelle,,Emmanuelle_Anthoine,56
PA720630,Minot,Maxime,,Maxime_Minot,33
PA721506,Kuster,Brigitte,,Brigitte_Kuster,61
PA266793,Bony,Jean-Yves,,Jean-Yves_Bony,65
PA720598,Deprez-Audebert,Marguerite,,Marguerite_Deprez-Audebert,68
PA342415,Battistel,Marie-Noëlle,1956-08-20,Marie-Noëlle_Battistel,64
PA608741,Tolmont,Sylvie,1962-10-09,Sylvie_Tolmont,58
PA340357,Victory,Michèle,,Michèle_Victory,62
