idScrutin,date_scrutin,titre,demandeur,votants,pour,contre,non_votants,non_votants_volontaires,abstention,% pour,% abstention,adopté
0,2020-10-07,l'article 24 bis du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique et financière (première lecture).,"Président du groupe ""La République en Marche""",57,56,0,2,0,1,0.98,0.02,1.0
1,2019-03-15,l'amendement n°23 de M. Potier à l'article 62 sexies du projet de loi relatif à la croissance et la transformation des entreprises (nouvelle lecture).,"Présidente du groupe ""Socialistes et apparentés""",35,9,26,2,0,0,0.26,0.0,0.0
2,2019-11-13,"la motion de rejet préalable, déposée par Mme Valérie Rabault, du projet de loi de finances rectificative pour 2019 (première lecture).","Présidente du groupe ""Socialistes et apparentés""",93,33,59,2,0,1,0.35,0.01,0.0
3,2017-10-19,l'amendement n° 400 de Mme Louwagie à l'article 11 du projet de loi de finances pour 2018 (première lecture).,"Président du groupe ""Les Républicains""",107,19,87,2,0,1,0.18,0.01,0.0
4,2018-12-04,l'amendement n° 272 de Mme Obono à l'article 50 du projet de loi de programmation 2018-2022 et de réforme pour la justice (première lecture).,"Président du groupe ""La France insoumise""",41,5,36,2,0,0,0.12,0.0,0.0
5,2018-06-21,l'ensemble de la proposition de loi relative à l'accueil des gens du voyage et à la lutte contre les installations illicites (première lecture).,"Président du groupe ""Les Républicains""",66,40,3,2,0,23,0.61,0.35,1.0
6,2020-07-30,l'amendement n° 930 de Mme Obono à l'article 4 du projet de loi relatif à la bioéthique (deuxième lecture).,"Président du groupe ""La France insoumise""",85,8,75,2,0,2,0.09,0.02,0.0
7,2019-03-15,l'article 61 du projet de loi relatif à la croissance et la transformation des entreprises (nouvelle lecture).,"Président du groupe ""La République en Marche""",42,27,5,2,0,10,0.64,0.24,1.0
8,2019-05-27,"la motion de renvoi en commission, déposée par M. Christian Jacob, de la proposition de résolution tendant à modifier le Règlement de l'Assemblée nationale.","Président du groupe ""Les Républicains""",65,25,40,1,0,0,0.38,0.0,0.0
9,2018-07-12,"l'amendement n° 2209 de Mme Autain et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",78,21,53,1,0,4,0.27,0.05,0.0
