,idVotant,Genre,Nom,Prénom,date_naissance,wikilink,age
0,PA606171,M.,Ferrand,Richard,1962-07-01,Richard_Ferrand,58
1,PA721824,M.,Renson,Hugues,,Hugues_Renson,43
2,PA719952,M.,Mis,Jean-Michel,,Jean-Michel_Mis,53
3,PA607395,M.,Travert,Stéphane,1969-10-12,Stéphane_Travert,51
4,PA718710,Mme,Boyer,Pascale,,Pascale_Boyer,55
5,PA718802,M.,Perea,Alain,,Alain_Péréa,49
6,PA719032,M.,Bouyx,Bertrand,,Bertrand_Bouyx,50
7,PA719100,M.,Ardouin,Jean-Philippe,,Jean-Philippe_Ardouin,56
8,PA719108,M.,Gérard,Raphaël,,Raphaël_Gérard,52
9,PA719154,M.,Martin,Didier,,Didier_Martin,64
10,PA719230,M.,Kerlogot,Yannick,,Yannick_Kerlogot,50
11,PA719388,Mme,Le Meur,Annaïg,,Annaïg_Le Meur,47
12,PA719728,M.,Le Bohec,Gaël,,Gaël_Le Bohec,43
13,PA719790,M.,Chalumeau,Philippe,,Philippe_Chalumeau,57
14,PA719814,Mme,Colboc,Fabienne,,Fabienne_Colboc,49
15,PA719830,M.,Démoulin,Nicolas,,Nicolas_Démoulin,48
16,PA719882,Mme,Meynier-Millefert,Marjolaine,,Marjolaine_Meynier-Millefert,38
17,PA719960,Mme,Faure-Muntian,Valéria,,Valéria_Faure-Muntian,36
18,PA720022,M.,Lauzzana,Michel,,Michel_Lauzzana,63
19,PA720030,M.,Freschi,Alexandre,,Alexandre_Freschi,41
20,PA720108,Mme,Oppelt,Valérie,,Valérie_Oppelt,47
21,PA720146,M.,Masséglia,Denis,,Denis_Masséglia,39
22,PA720154,Mme,Dubré-Chirat,Nicole,,Nicole_Dubré-Chirat,69
23,PA720268,M.,Damaisin,Olivier,,Olivier_Damaisin,54
24,PA720754,M.,Studer,Bruno,,Bruno_Studer,42
25,PA721158,M.,Anglade,Pieyre-Alexandre,,Pieyre-Alexandre_Anglade,34
26,PA721450,Mme,Lenne,Marion,,Marion_Lenne,46
27,PA721750,Mme,Calvez,Céline,,Céline_Calvez,41
28,PA721776,M.,Baichère,Didier,,Didier_Baichère,50
29,PA721844,Mme,Piron,Béatrice,,Béatrice_Piron,55
30,PA722046,Mme,Bergé,Aurore,,Aurore_Bergé,34
31,PA722094,Mme,Hennion,Christine,,Christine_Hennion,65
32,PA722170,Mme,Beaudouin-Hubiere,Sophie,,Sophie_Beaudouin-Hubière,48
33,PA722228,M.,Leclabart,Jean-Claude,,Jean-Claude_Leclabart,66
34,PA722336,M.,Thiébaut,Vincent,,Vincent_Thiébaut,48
35,PA722194,Mme,Provendier,Florence,,Florence_Provendier,55
36,PA721674,Mme,Atger,Stéphanie,,Stéphanie_Atger,45
37,PA345722,Mme,Le Grip,Constance,,Constance_Le Grip,60
38,PA720210,Mme,Beauvais,Valérie,,Valérie_Beauvais,57
39,PA720644,M.,Nury,Jérôme,,Jérôme_Nury,48
40,PA608826,Mme,Duby-Muller,Virginie,1979-08-16,Virginie_Duby-Muller,41
41,PA266797,M.,Gosselin,Philippe,1966-10-23,Philippe_Gosselin,54
42,PA719318,Mme,Anthoine,Emmanuelle,,Emmanuelle_Anthoine,56
43,PA720630,M.,Minot,Maxime,,Maxime_Minot,33
44,PA721506,Mme,Kuster,Brigitte,,Brigitte_Kuster,61
45,PA266793,M.,Bony,Jean-Yves,,Jean-Yves_Bony,65
46,PA720598,Mme,Deprez-Audebert,Marguerite,,Marguerite_Deprez-Audebert,68
47,PA342415,Mme,Battistel,Marie-Noëlle,1956-08-20,Marie-Noëlle_Battistel,64
48,PA608741,Mme,Tolmont,Sylvie,1962-10-09,Sylvie_Tolmont,58
49,PA340357,Mme,Victory,Michèle,,Michèle_Victory,62
50,PA642868,M.,Christophe,Paul,,Paul_Christophe,50
51,PA267780,Mme,Firmin Le Bodo,Agnès,,Agnès_Firmin-Le_Bodo,52
52,PA1838,M.,Lassalle,Jean,1955-05-03,Jean_Lassalle,65
53,PA721194,Mme,Dumas,Frédérique,,Frédérique_Dumas,57
54,PA722268,Mme,Wonner,Martine,,Martine_Wonner,56
55,PA719608,Mme,Ménard,Emmanuelle,,Emmanuelle_Ménard,52
56,PA721852,Mme,Lebec,Marie,,Marie_Lebec,30
57,PA719024,M.,Blanchet,Christophe,,Christophe_Blanchet,47
58,PA719080,Mme,Marsaud,Sandra,,Sandra_Marsaud,47
59,PA719170,Mme,Charvier,Fannette,,Fannette_Charvier,36
60,PA719372,M.,Kasbarian,Guillaume,,Guillaume_Kasbarian,34
61,PA719420,M.,Sommer,Denis,,Denis_Sommer,63
62,PA719684,Mme,Dubost,Coralie,,Coralie_Dubost,37
63,PA719850,Mme,Motin,Cendra,,Cendra_Motin,46
64,PA720298,Mme,Cariou,Émilie,,Émilie_Cariou,49
65,PA720830,Mme,Thomas,Valérie,,Valérie_Thomas,53
66,PA721134,M.,Lescure,Roland,,Roland_Lescure,54
67,PA721344,M.,Bonnell,Bruno,,Bruno_Bonnell,62
68,PA721542,Mme,Verdier-Jouclas,Marie-Christine,,Marie-Christine_Verdier-Jouclas,55
69,PA722382,M.,Dirx,Benjamin,,Benjamin_Dirx,42
70,PA1327,M.,Forissier,Nicolas,,Nicolas_Forissier,60
71,PA608016,Mme,Louwagie,Véronique,1961-03-20,Véronique_Louwagie,59
72,PA718978,M.,Laqhila,Mohamed,,Mohamed_Laqhila,61
73,PA720652,M.,Duvergé,Bruno,,Bruno_Duvergé,63
74,PA607553,M.,Potier,Dominique,1964-03-17,Dominique_Potier,56
75,PA719930,M.,Vallaud,Boris,,Boris_Vallaud,45
76,PA720422,M.,Quatennens,Adrien,,Adrien_Quatennens,30
77,PA720846,M.,Lachaud,Bastien,,Bastien_Lachaud,40
78,PA720892,Mme,Panot,Mathilde,,Mathilde_Panot,32
79,PA721202,M.,Coquerel,Éric,,Éric_Coquerel,62
80,PA721210,M.,Corbière,Alexis,,Alexis_Corbière,52
81,PA718926,M.,Dharréville,Pierre,,Pierre_Dharréville,45
82,PA721270,M.,Peu,Stéphane,,Stéphane_Peu,58
83,PA331582,M.,Vigier,Philippe,1958-02-03,Philippe_Vigier,63
84,PA643127,M.,Questel,Bruno,,Bruno_Questel,54
85,PA720790,M.,Grau,Romain,,Romain_Grau,46
86,PA607595,M.,Pellois,Hervé,1951-04-17,Hervé_Pellois,69
87,PA720492,Mme,Osson,Catherine,,Catherine_Osson,47
88,PA718954,M.,Ahamada,Saïd,,Saïd_Ahamada,48
89,PA719186,Mme,Khattabi,Fadila,,Fadila_Khattabi,59
90,PA719242,M.,Moreau,Jean-Baptiste,,Jean-Baptiste_Moreau,
91,PA719472,M.,Cazeneuve,Jean-René,,Jean-René_Cazeneuve,62
92,PA719540,Mme,Toutut-Picard,Élisabeth,,Élisabeth_Toutut-Picard,66
93,PA719616,M.,Euzet,Christophe,,Christophe_Euzet,53
94,PA719710,Mme,David,Dominique,,Dominique_David,
95,PA719740,M.,Colas-Roy,Jean-Charles,,Jean-Charles_Colas-Roy,42
96,PA719756,Mme,Cloarec-Le Nabour,Christine,,Christine_Cloarec-Le Nabour,56
97,PA719798,M.,Labaronne,Daniel,,Daniel_Labaronne,65
98,PA719890,Mme,Brulebois,Danielle,,Danielle_Brulebois,73
99,PA719922,M.,Causse,Lionel,,Lionel_Causse,49
100,PA719994,Mme,Kamowski,Catherine,,Catherine_Kamowski,62
101,PA643175,Mme,Dupont,Stella,,Stella_Dupont,47
102,PA720222,M.,Girardin,Éric,,Éric_Girardin,59
103,PA720362,M.,Belhaddad,Belkhir,,Belkhir_Belhaddad,51
104,PA720446,Mme,Liso,Brigitte,,Brigitte_Liso,61
105,PA720500,Mme,Petit,Valérie,,Valérie_Petit,44
106,PA720520,Mme,Cattelot,Anne-Laure,,Anne-Laure_Cattelot,32
107,PA720622,Mme,Bureau-Bonnard,Carole,,Carole_Bureau-Bonnard,55
108,PA720738,M.,Michels,Thierry,,Thierry_Michels,
109,PA720862,M.,Descrozaille,Frédéric,,Frédéric_Descrozaille,53
110,PA720878,M.,Saint-Martin,Laurent,,Laurent_Saint-Martin,35
111,PA720900,Mme,Rilhac,Cécile,,Cécile_Rilhac,46
