;idVotant;Genre;Nom;Prénom;date_naissance;wikilink;age;Identité;CSP
0;PA606171;M.;Ferrand;Richard;1962-07-01;Richard_Ferrand;58;Ferrand Richard;Cadres d'entreprise
1;PA721824;M.;Renson;Hugues;;Hugues_Renson;43;Renson Hugues;Cadres de la fonction publique, professions intellectuelles et artistiques
2;PA719952;M.;Mis;Jean-Michel;;Jean-Michel_Mis;53;Mis Jean-Michel;Cadres de la fonction publique, professions intellectuelles et artistiques
3;PA607395;M.;Travert;Stéphane;1969-10-12;Stéphane_Travert;51;Travert Stéphane;Cadres d'entreprise
4;PA718710;Mme;Boyer;Pascale;;Pascale_Boyer;55;Boyer Pascale;Sans profession déclarée
5;PA718802;M.;Perea;Alain;;Alain_Péréa;49;Perea Alain;Cadres de la fonction publique, professions intellectuelles et artistiques
6;PA719032;M.;Bouyx;Bertrand;;Bertrand_Bouyx;50;Bouyx Bertrand;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
7;PA719100;M.;Ardouin;Jean-Philippe;;Jean-Philippe_Ardouin;56;Ardouin Jean-Philippe;Chefs d'entreprise de 10 salariés ou plus
8;PA719108;M.;Gérard;Raphaël;;Raphaël_Gérard;52;Gérard Raphaël;Cadres d'entreprise
9;PA719154;M.;Martin;Didier;;Didier_Martin;64;Martin Didier;Cadres de la fonction publique, professions intellectuelles et artistiques
10;PA719230;M.;Kerlogot;Yannick;;Yannick_Kerlogot;50;Kerlogot Yannick;Cadres de la fonction publique, professions intellectuelles et artistiques
11;PA719388;Mme;Le Meur;Annaïg;;Annaïg_Le Meur;47;Le Meur Annaïg;Artisans
12;PA719728;M.;Le Bohec;Gaël;;Gaël_Le Bohec;43;Le Bohec Gaël;Chefs d'entreprise de 10 salariés ou plus
13;PA719790;M.;Chalumeau;Philippe;;Philippe_Chalumeau;57;Chalumeau Philippe;Professions libérales et assimilés
14;PA719814;Mme;Colboc;Fabienne;;Fabienne_Colboc;49;Colboc Fabienne;Professions libérales et assimilés
15;PA719830;M.;Démoulin;Nicolas;;Nicolas_Démoulin;48;Démoulin Nicolas;Commerçants et assimilés
16;PA719882;Mme;Meynier-Millefert;Marjolaine;;Marjolaine_Meynier-Millefert;38;Meynier-Millefert Marjolaine;Professions libérales et assimilés
17;PA719960;Mme;Faure-Muntian;Valéria;;Valéria_Faure-Muntian;36;Faure-Muntian Valéria;Employés de commerce
18;PA720022;M.;Lauzzana;Michel;;Michel_Lauzzana;63;Lauzzana Michel;Professions libérales et assimilés
19;PA720030;M.;Freschi;Alexandre;;Alexandre_Freschi;41;Freschi Alexandre;Chefs d'entreprise de 10 salariés ou plus
20;PA720108;Mme;Oppelt;Valérie;;Valérie_Oppelt;47;Oppelt Valérie;Artisans
21;PA720146;M.;Masséglia;Denis;;Denis_Masséglia;39;Masséglia Denis;Cadres d'entreprise
22;PA720154;Mme;Dubré-Chirat;Nicole;;Nicole_Dubré-Chirat;69;Dubré-Chirat Nicole;Anciens cadres et professions intermédiaires
23;PA720268;M.;Damaisin;Olivier;;Olivier_Damaisin;54;Damaisin Olivier;Commerçants et assimilés
24;PA720754;M.;Studer;Bruno;;Bruno_Studer;42;Studer Bruno;Cadres de la fonction publique, professions intellectuelles et artistiques
25;PA721158;M.;Anglade;Pieyre-Alexandre;;Pieyre-Alexandre_Anglade;34;Anglade Pieyre-Alexandre;Cadres de la fonction publique, professions intellectuelles et artistiques
26;PA721450;Mme;Lenne;Marion;;Marion_Lenne;46;Lenne Marion;Cadres d'entreprise
27;PA721750;Mme;Calvez;Céline;;Céline_Calvez;41;Calvez Céline;Commerçants et assimilés
28;PA721776;M.;Baichère;Didier;;Didier_Baichère;50;Baichère Didier;Cadres d'entreprise
29;PA721844;Mme;Piron;Béatrice;;Béatrice_Piron;55;Piron Béatrice;Chefs d'entreprise de 10 salariés ou plus
30;PA722046;Mme;Bergé;Aurore;;Aurore_Bergé;34;Bergé Aurore;Cadres d'entreprise
31;PA722094;Mme;Hennion;Christine;;Christine_Hennion;65;Hennion Christine;Cadres d'entreprise
32;PA722170;Mme;Beaudouin-Hubiere;Sophie;;Sophie_Beaudouin-Hubière;48;Beaudouin-Hubiere Sophie;Inactifs divers (autres que retraités)
33;PA722228;M.;Leclabart;Jean-Claude;;Jean-Claude_Leclabart;66;Leclabart Jean-Claude;Anciens agriculteurs exploitants
34;PA722336;M.;Thiébaut;Vincent;;Vincent_Thiébaut;48;Thiébaut Vincent;Cadres d'entreprise
35;PA722194;Mme;Provendier;Florence;;Florence_Provendier;55;Provendier Florence;Cadres d'entreprise
36;PA721674;Mme;Atger;Stéphanie;;Stéphanie_Atger;45;Atger Stéphanie;Commerçants et assimilés
37;PA345722;Mme;Le Grip;Constance;;Constance_Le Grip;60;Le Grip Constance;Cadres de la fonction publique, professions intellectuelles et artistiques
38;PA720210;Mme;Beauvais;Valérie;;Valérie_Beauvais;57;Beauvais Valérie;Sans profession déclarée
39;PA720644;M.;Nury;Jérôme;;Jérôme_Nury;48;Nury Jérôme;Cadres de la fonction publique, professions intellectuelles et artistiques
40;PA608826;Mme;Duby-Muller;Virginie;1979-08-16;Virginie_Duby-Muller;41;Duby-Muller Virginie;Cadres d'entreprise
41;PA266797;M.;Gosselin;Philippe;1966-10-23;Philippe_Gosselin;54;Gosselin Philippe;Cadres de la fonction publique, professions intellectuelles et artistiques
42;PA719318;Mme;Anthoine;Emmanuelle;;Emmanuelle_Anthoine;56;Anthoine Emmanuelle;Professions libérales et assimilés
43;PA720630;M.;Minot;Maxime;;Maxime_Minot;33;Minot Maxime;Employés administratifs d'entreprise
44;PA721506;Mme;Kuster;Brigitte;;Brigitte_Kuster;61;Kuster Brigitte;Sans profession déclarée
45;PA266793;M.;Bony;Jean-Yves;;Jean-Yves_Bony;65;Bony Jean-Yves;Agriculteurs exploitants
46;PA720598;Mme;Deprez-Audebert;Marguerite;;Marguerite_Deprez-Audebert;68;Deprez-Audebert Marguerite;Anciens artisans, commerçants, chefs d'entreprise
47;PA342415;Mme;Battistel;Marie-Noëlle;1956-08-20;Marie-Noëlle_Battistel;64;Battistel Marie-Noëlle;Cadres d'entreprise
48;PA608741;Mme;Tolmont;Sylvie;1962-10-09;Sylvie_Tolmont;58;Tolmont Sylvie;Cadres de la fonction publique, professions intellectuelles et artistiques
49;PA340357;Mme;Victory;Michèle;;Michèle_Victory;62;Victory Michèle;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
50;PA642868;M.;Christophe;Paul;;Paul_Christophe;50;Christophe Paul;Cadres de la fonction publique, professions intellectuelles et artistiques
51;PA267780;Mme;Firmin Le Bodo;Agnès;;Agnès_Firmin-Le_Bodo;52;Firmin Le Bodo Agnès;Professions libérales et assimilés
52;PA1838;M.;Lassalle;Jean;1955-05-03;Jean_Lassalle;65;Lassalle Jean;Ouvriers agricoles
53;PA721194;Mme;Dumas;Frédérique;;Frédérique_Dumas;57;Dumas Frédérique;Commerçants et assimilés
54;PA722268;Mme;Wonner;Martine;;Martine_Wonner;56;Wonner Martine;Cadres d'entreprise
55;PA719608;Mme;Ménard;Emmanuelle;;Emmanuelle_Ménard;52;Ménard Emmanuelle;Cadres d'entreprise
56;PA721852;Mme;Lebec;Marie;;Marie_Lebec;30;Lebec Marie;Cadres d'entreprise
57;PA719024;M.;Blanchet;Christophe;;Christophe_Blanchet;47;Blanchet Christophe;Commerçants et assimilés
58;PA719080;Mme;Marsaud;Sandra;;Sandra_Marsaud;47;Marsaud Sandra;Cadres d'entreprise
59;PA719170;Mme;Charvier;Fannette;;Fannette_Charvier;36;Charvier Fannette;Employés administratifs d'entreprise
60;PA719372;M.;Kasbarian;Guillaume;;Guillaume_Kasbarian;34;Kasbarian Guillaume;Cadres d'entreprise
61;PA719420;M.;Sommer;Denis;;Denis_Sommer;63;Sommer Denis;Cadres de la fonction publique, professions intellectuelles et artistiques
62;PA719684;Mme;Dubost;Coralie;;Coralie_Dubost;37;Dubost Coralie;Cadres d'entreprise
